date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:02:05	102/102	U-----	200	untouched ('OK')	text/plain	etag:%225945bcd-66-452b6a9415800%22	http://www.zygorguides.com/robots.txt		(from )
09:02:06	20034/20034	U--MC-	200	updated ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:03%20GMT	http://www.zygorguides.com/members/inscription.php?>postfile:C:\My%20Web%20Sites\Inscription%20Profession%20Leveling%20Guide\hts-post0	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/members/inscriptiona465.html	(from )
09:02:06	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225945ba4-47e-47674c3511f00%22	http://www.zygorguides.com/favicon.ico	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/favicon.ico	(from )
09:02:07	2607/2607	---M--	200	added ('OK')	text/xml	etag:dC8xN1UtcFihIyrV+5hJim6qpC0	http://feeds.feedburner.com/zygorguides	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/feeds.feedburner.com/zygorguideshtml.html	(from )
09:02:07	349/349	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Oct%202009%2014:02:06%20GMT	http://www.wowhead.com/widgets/power.js	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.wowhead.com/widgets/power.6.delayed	(from )
09:02:07	49/49	---M--	200	added ('OK')	text/plain	date:Thu,%2029%20Oct%202009%2014:02:06%20GMT	http://feeds.feedburner.com/robots.txt		(from http://www.zygorguides.com/members/inscription.php?>postfile:C:\My%20Web%20Sites\Inscription%20Profession%20Leveling%20Guide\hts-post0)
09:02:07	10964/10964	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:05%20GMT	http://www.zygorguides.com/news/index.php	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/news/index.html	(from )
09:02:08	8307/8307	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:05%20GMT	http://www.zygorguides.com/about/index.php	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/about/index.html	(from )
09:02:13	8707/8707	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:05%20GMT	http://www.zygorguides.com/guides/index.php	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/guides/index.html	(from )
09:02:13	7444/7444	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:10%20GMT	http://www.zygorguides.com/amember/member.php	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/amember/member.html	(from )
09:02:14	25154/25154	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:11%20GMT	http://www.zygorguides.com/forum/index.php	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/forum/index.html	(from )
09:02:19	14895/14895	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:11%20GMT	http://www.zygorguides.com/faq/index.php	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/faq/index.html	(from )
09:02:19	8124/8124	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:16%20GMT	http://www.zygorguides.com/contact/index.php	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/contact/index.html	(from )
09:02:19	1150/1150	URF---	200	untouched ('OK%20(cached)')	image/x-icon		http://www.zygorguides.com/favicon.ico	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/favicon.ico	(from http://www.zygorguides.com/members/inscription.php?>postfile:C:\My%20Web%20Sites\Inscription%20Profession%20Leveling%20Guide\hts-post0)
09:02:19	20/20	---M--	200	added ('OK')	text/plain	etag:%222848147-0-462d5b0d2be40%22	http://www.wowhead.com/robots.txt		(from http://www.zygorguides.com/members/inscription.php?>postfile:C:\My%20Web%20Sites\Inscription%20Profession%20Leveling%20Guide\hts-post0)
09:02:19	14918/14918	U-----	200	untouched ('OK')	text/css	etag:%2259580b4-3a46-47702597f5680%22	http://www.zygorguides.com/css/peach.css	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/css/peach.css	(from http://www.zygorguides.com/members/inscription.php?>postfile:C:\My%20Web%20Sites\Inscription%20Profession%20Leveling%20Guide\hts-post0)
09:02:20	6705/6705	U-----	200	untouched ('OK')	application/javascript	etag:%225958641-1a31-458a985b82dc0%22	http://www.zygorguides.com/js/flashembed.js	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/js/flashembed.js	(from http://www.zygorguides.com/members/inscription.php?>postfile:C:\My%20Web%20Sites\Inscription%20Profession%20Leveling%20Guide\hts-post0)
09:02:20	4573/4573	U-----	200	untouched ('OK')	application/javascript	etag:%22595863f-11dd-45b9862d31580%22	http://www.zygorguides.com/js/dropdown.js	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/www.zygorguides.com/js/dropdown.js	(from http://www.zygorguides.com/members/inscription.php?>postfile:C:\My%20Web%20Sites\Inscription%20Profession%20Leveling%20Guide\hts-post0)
09:02:20	10327/10327	U-----	200	untouched ('OK')	text/javascript	etag:%22-5557843252542457574%22	http://static.wowhead.com/widgets/power.js	C:/My%20Web%20Sites/Inscription%20Profession%20Leveling%20Guide/static.wowhead.com/widgets/power.js	(from http://www.zygorguides.com/members/inscription.php?>postfile:C:\My%20Web%20Sites\Inscription%20Profession%20Leveling%20Guide\hts-post0)
