date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:17	15390/15390	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2013:57:15%20GMT	http://www.zygorguides.com/freebies/appraiser.php	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/freebies/appraiser.html	(from )
08:57:18	102/102	---M--	200	added ('OK')	text/plain	etag:%225945bcd-66-452b6a9415800%22	http://www.zygorguides.com/robots.txt		(from )
08:57:18	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225945ba4-47e-47674c3511f00%22	http://www.zygorguides.com/favicon.ico	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/favicon.ico	(from )
08:57:18	2607/2607	---M--	200	added ('OK')	text/xml	etag:dC8xN1UtcFihIyrV+5hJim6qpC0	http://feeds.feedburner.com/zygorguides	C:/My%20Web%20Sites/Auction%20Appraiser%202/feeds.feedburner.com/zygorguideshtml.html	(from )
08:57:19	14918/14918	---M--	200	added ('OK')	text/css	etag:%2259580b4-3a46-47702597f5680%22	http://www.zygorguides.com/css/peach.css	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/css/peach.css	(from )
08:57:19	6705/6705	---M--	200	added ('OK')	application/javascript	etag:%225958641-1a31-458a985b82dc0%22	http://www.zygorguides.com/js/flashembed.js	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/js/flashembed.js	(from )
08:57:19	49/49	---M--	200	added ('OK')	text/plain	date:Thu,%2029%20Oct%202009%2013:57:17%20GMT	http://feeds.feedburner.com/robots.txt		(from http://www.zygorguides.com/freebies/appraiser.php)
08:57:19	4573/4573	---M--	200	added ('OK')	application/javascript	etag:%22595863f-11dd-45b9862d31580%22	http://www.zygorguides.com/js/dropdown.js	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/js/dropdown.js	(from )
08:57:19	349/349	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Oct%202009%2013:57:18%20GMT	http://www.wowhead.com/widgets/power.js	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.wowhead.com/widgets/power.6.delayed	(from )
08:57:20	10327/10327	---M--	200	added ('OK')	text/javascript	etag:%22-5557843252542457574%22	http://static.wowhead.com/widgets/power.js	C:/My%20Web%20Sites/Auction%20Appraiser%202/static.wowhead.com/widgets/power.js	(from )
08:57:25	10964/10964	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2013:57:17%20GMT	http://www.zygorguides.com/news/index.php	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/news/index.html	(from )
08:57:25	8307/8307	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2013:57:22%20GMT	http://www.zygorguides.com/about/index.php	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/about/index.html	(from )
08:57:25	8707/8707	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2013:57:23%20GMT	http://www.zygorguides.com/guides/index.php	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/guides/index.html	(from )
08:57:31	9566/9566	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2013:57:23%20GMT	http://www.zygorguides.com/freetrial/index.php	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/freetrial/index.html	(from )
08:57:31	7444/7444	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2013:57:28%20GMT	http://www.zygorguides.com/amember/member.php	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/amember/member.html	(from )
08:57:32	24997/24997	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2013:57:28%20GMT	http://www.zygorguides.com/forum/index.php	C:/My%20Web%20Sites/Auction%20Appraiser%202/www.zygorguides.com/forum/index.html	(from )
