date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:02:37	102/102	U-----	200	untouched ('OK')	text/plain	etag:%225945bcd-66-452b6a9415800%22	http://zygorguides.com/robots.txt		(from )
09:02:40	83692/83692	U--MC-	200	updated ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:35%20GMT	http://zygorguides.com/freebies/fooddrinkstats.php	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/freebies/fooddrinkstats.html	(from )
09:02:41	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225945ba4-47e-47674c3511f00%22	http://zygorguides.com/favicon.ico	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/favicon.ico	(from )
09:02:41	2607/2607	---M--	200	added ('OK')	text/xml	etag:dC8xN1UtcFihIyrV+5hJim6qpC0	http://feeds.feedburner.com/zygorguides	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/feeds.feedburner.com/zygorguideshtml.html	(from )
09:02:41	349/349	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Oct%202009%2014:02:40%20GMT	http://www.wowhead.com/widgets/power.js	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/www.wowhead.com/widgets/power.6.delayed	(from )
09:02:41	49/49	---M--	200	added ('OK')	text/plain	date:Thu,%2029%20Oct%202009%2014:02:40%20GMT	http://feeds.feedburner.com/robots.txt		(from http://zygorguides.com/freebies/fooddrinkstats.php)
09:02:42	10964/10964	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:39%20GMT	http://zygorguides.com/news/index.php	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/news/index.html	(from )
09:02:42	102/102	---M--	200	added ('OK')	text/plain	etag:%225945bcd-66-452b6a9415800%22	http://www.zygorguides.com/robots.txt		(from http://zygorguides.com/freebies/fooddrinkstats.php)
09:02:42	8307/8307	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:39%20GMT	http://zygorguides.com/about/index.php	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/about/index.html	(from )
09:02:43	8707/8707	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:39%20GMT	http://zygorguides.com/guides/index.php	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/guides/index.html	(from )
09:02:43	7444/7444	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:40%20GMT	http://zygorguides.com/amember/member.php	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/amember/member.html	(from )
09:02:43	9566/9566	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:40%20GMT	http://zygorguides.com/freetrial/index.php	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/freetrial/index.html	(from )
09:02:45	27052/27052	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:40%20GMT	http://zygorguides.com/forum/index.php	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/forum/index.html	(from )
09:02:45	14895/14895	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2014:02:41%20GMT	http://zygorguides.com/faq/index.php	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/faq/index.html	(from )
