date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:28:23	102/102	---M--	200	added ('OK')	text/plain	etag:%225945bcd-66-452b6a9415800%22	http://zygorguides.com/robots.txt		(from )
08:28:27	83692/83692	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202009%2013:28:11%20GMT	http://zygorguides.com/freebies/fooddrinkstats.php	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/freebies/fooddrinkstats.html	(from )
08:28:28	14918/14918	---M--	200	added ('OK')	text/css	etag:%2259580b4-3a46-47702597f5680%22	http://zygorguides.com/css/peach.css	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/css/peach.css	(from )
08:28:29	6705/6705	---M--	200	added ('OK')	application/javascript	etag:%225958641-1a31-458a985b82dc0%22	http://zygorguides.com/js/flashembed.js	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/js/flashembed.js	(from )
08:28:30	4573/4573	---M--	200	added ('OK')	application/javascript	etag:%22595863f-11dd-45b9862d31580%22	http://zygorguides.com/js/dropdown.js	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/js/dropdown.js	(from )
08:28:31	349/349	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Oct%202009%2013:28:29%20GMT	http://www.wowhead.com/widgets/power.js	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/www.wowhead.com/widgets/power.4.delayed	(from )
08:28:32	10327/10327	---M--	200	added ('OK')	text/javascript	etag:%22-5557843252542457574%22	http://static.wowhead.com/widgets/power.js	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/static.wowhead.com/widgets/power.js	(from )
08:28:38	34313/34313	---M--	200	added ('OK')	image/png	etag:%225958567-8609-475d21dc6ea80%22	http://zygorguides.com/img/fish.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/fish.png	(from )
08:28:38	74900/74900	---M--	200	added ('OK')	image/png	etag:%22595853a-12494-475d21d4cd880%22	http://zygorguides.com/img/bread.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/bread.png	(from )
08:28:45	75203/75203	---M--	200	added ('OK')	image/png	etag:%225958572-125c3-475d21e227800%22	http://zygorguides.com/img/fungi.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/fungi.png	(from )
08:28:46	70123/70123	---M--	200	added ('OK')	image/png	etag:%2259585b1-111eb-475d21e6ec340%22	http://zygorguides.com/img/meat.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/meat.png	(from )
08:28:48	58891/58891	---M--	200	added ('OK')	image/png	etag:%225958543-e60b-475d21ebb0e80%22	http://zygorguides.com/img/cheese.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/cheese.png	(from )
08:28:50	77157/77157	---M--	200	added ('OK')	image/png	etag:%225958571-12d65-475d21f169c00%22	http://zygorguides.com/img/fruit.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/fruit.png	(from )
08:28:52	10546/10546	---M--	200	added ('OK')	image/gif	etag:%22595860a-2932-475d220b298c0%22	http://zygorguides.com/img/tocdk.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tocdk.gif	(from )
08:28:53	11937/11937	---M--	200	added ('OK')	image/gif	etag:%22595860f-2ea1-475d220efa1c0%22	http://zygorguides.com/img/tocpriest.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tocpriest.gif	(from )
08:28:53	70314/70314	---M--	200	added ('OK')	image/png	etag:%225958554-112aa-475d21f62e740%22	http://zygorguides.com/img/drink.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/drink.png	(from )
08:28:53	11888/11888	---M--	200	added ('OK')	image/gif	etag:%22595860b-2e70-475d220c1db00%22	http://zygorguides.com/img/tocdruid.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tocdruid.gif	(from )
08:28:53	10027/10027	---M--	200	added ('OK')	image/gif	etag:%225958610-272b-475d220efa1c0%22	http://zygorguides.com/img/tocrogue.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tocrogue.gif	(from )
08:28:54	11794/11794	---M--	200	added ('OK')	image/gif	etag:%22595860c-2e12-475d220c1db00%22	http://zygorguides.com/img/tochunt.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tochunt.gif	(from )
08:28:54	11020/11020	---M--	200	added ('OK')	image/gif	etag:%225958611-2b0c-475d2210e2640%22	http://zygorguides.com/img/tocsham.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tocsham.gif	(from )
08:28:55	10097/10097	---M--	200	added ('OK')	image/gif	etag:%22595860d-2771-475d220c1db00%22	http://zygorguides.com/img/tocmage.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tocmage.gif	(from )
08:28:55	8596/8596	---M--	200	added ('OK')	image/gif	etag:%225958612-2194-475d2211d6880%22	http://zygorguides.com/img/tocwar.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tocwar.gif	(from )
08:28:56	12765/12765	---M--	200	added ('OK')	image/gif	etag:%22595860e-31dd-475d220e05f80%22	http://zygorguides.com/img/tocpala.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tocpala.gif	(from )
08:28:56	535/535	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Oct%202009%2013:28:53%20GMT	http://zygorguides.com/freebies/Charred%20Bear%20Kabobs	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/freebies/Charred%20Bear%20Kabobs.17.delayed	(from )
08:28:56	10719/10719	---M--	200	added ('OK')	image/gif	etag:%225958613-29df-475d2211d6880%22	http://zygorguides.com/img/tocwarrior.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tocwarrior.gif	(from )
08:28:56	545/545	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Oct%202009%2013:28:54%20GMT	http://zygorguides.com/freebies/Oronok's%20Tuber%20of%20Spell%20Power	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/freebies/Oronok's%20Tuber%20of%20Spell%20Power.18.delayed	(from )
08:28:57	539/539	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Oct%202009%2013:28:54%20GMT	http://zygorguides.com/freebies/Tender%20Shoveltusk%20Steak	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/freebies/Tender%20Shoveltusk%20Steak.19.delayed	(from )
08:28:57	67/67	---M--	200	added ('OK')	image/gif	etag:%22595852d-43-458a98449f7c0%22	http://zygorguides.com/img/back.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/back.gif	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:00	2837/2837	---M--	200	added ('OK')	image/png	etag:%2259585b6-b15-475d231be9c40%22	http://zygorguides.com/img/nav.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/nav.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:01	1897/1897	---M--	200	added ('OK')	image/jpeg	etag:%2259585e8-769-458a984b4c780%22	http://www.zygorguides.com/img/rss-feed.jpg	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/www.zygorguides.com/img/rss-feed.jpg	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:01	36175/36175	---M--	200	added ('OK')	image/png	etag:%2259585d3-8d4f-459382ead69c0%22	http://www.zygorguides.com/img/portal.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/www.zygorguides.com/img/portal.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:01	673/673	---M--	200	added ('OK')	image/gif	etag:%22595864f-2a1-4594c8b7611c0%22	http://zygorguides.com/js/graphics/loader.white.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/js/graphics/loader.white.gif	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:02	209/209	---M--	200	added ('OK')	image/gif	etag:%22595864b-d1-4594c8b578d40%22	http://zygorguides.com/js/graphics/fullexpand.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/js/graphics/fullexpand.gif	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:03	4139/4139	---M--	200	added ('OK')	image/png	etag:%22595853f-102b-459b0c6d7f300%22	http://www.zygorguides.com/img/button-download.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/www.zygorguides.com/img/button-download.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:04	81208/81208	---M--	200	added ('OK')	image/jpeg	etag:%2259585da-13d38-475be0fd9a340%22	http://zygorguides.com/img/relaunchbanner.jpg	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/relaunchbanner.jpg	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:04	1117/1117	---M--	200	added ('OK')	image/png	etag:%22595856e-45d-45b5e9bee9400%22	http://zygorguides.com/img/frostbullet.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/frostbullet.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:05	4366/4366	---M--	200	added ('OK')	image/png	etag:%225958535-110e-45b5ea5597780%22	http://zygorguides.com/img/bloodx.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/bloodx.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:06	4482/4482	---M--	200	added ('OK')	image/png	etag:%22595856f-1182-45b5ea577fc00%22	http://zygorguides.com/img/frostx.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/frostx.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:07	65768/65768	---M--	200	added ('OK')	image/png	etag:%22595862e-100e8-45a7a9586ec00%22	http://www.zygorguides.com/img/wotlktimer.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/www.zygorguides.com/img/wotlktimer.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:08	4483/4483	---M--	200	added ('OK')	image/png	etag:%225958619-1183-45b5ea5968080%22	http://zygorguides.com/img/unholyx.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/unholyx.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:08	5212/5212	---M--	200	added ('OK')	image/png	etag:%2259585ed-145c-47677698ee1c0%22	http://www.zygorguides.com/img/scroll.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/www.zygorguides.com/img/scroll.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:09	5212/5212	---M--	200	added ('OK')	image/png	etag:%2259585ee-145c-45b5eaa2d6dc0%22	http://zygorguides.com/img/scrollbullet.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/scrollbullet.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:10	8376/8376	---M--	200	added ('OK')	image/png	etag:%225958562-20b8-45b5e9cf1fa40%22	http://zygorguides.com/img/enchantbullet.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/enchantbullet.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:11	5092/5092	---M--	200	added ('OK')	image/png	etag:%225958575-13e4-45b5ea0c28a40%22	http://zygorguides.com/img/glyphbullet.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/glyphbullet.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:12	8776/8776	---M--	200	added ('OK')	image/png	etag:%225958609-2248-45b5e9d4d87c0%22	http://zygorguides.com/img/tarotbullet.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/tarotbullet.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:13	7488/7488	---M--	200	added ('OK')	image/png	etag:%22595859e-1d40-45b5e9d1fc100%22	http://zygorguides.com/img/inkbullet.png	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/inkbullet.png	(from http://zygorguides.com/freebies/fooddrinkstats.php)
08:29:14	5515/5515	---M--	200	added ('OK')	image/gif	etag:%22595853e-158b-47653849baa80%22	http://zygorguides.com/img/button-download.gif	C:/My%20Web%20Sites/Zygor%20Food%20&%20Drink%20Stats%20Guide/zygorguides.com/img/button-download.gif	(from http://zygorguides.com/freebies/fooddrinkstats.php)
